Protocol timestamp, Sensor Distance0, Sensor Distance2
     15.155000,   -0.85545, -10.74710
     15.155500,   -0.93251, -10.67471
     15.156000,   -1.01229, -10.59843
     15.156500,   -1.09402, -10.52137
     15.157000,   -1.17770, -10.44742
     15.157500,   -1.26332, -10.36880
     15.158000,   -1.35128, -10.29408
     15.158500,   -1.44119, -10.21468
     15.159000,   -1.53304, -10.13840
     15.159500,   -1.62683, -10.06290
     15.160000,   -1.72257,  -9.98506
     15.160500,   -1.82065,  -9.90955
     15.161000,   -1.92028,  -9.83249
     15.161500,   -2.02186,  -9.75699
     15.162000,   -2.12539,  -9.67993
     15.162500,   -2.23047,  -9.59976
     15.163000,   -2.33750,  -9.52347
     15.163500,   -2.44647,  -9.44330
     15.164000,   -2.55701,  -9.36624
     15.164500,   -2.66948,  -9.29074
     15.165000,   -2.78352,  -9.21134
     15.165500,   -2.89911,  -9.13350
     15.166000,   -3.01664,  -9.05644
     15.166500,   -3.13535,  -8.97782
     15.167000,   -3.25561,  -8.90232
     15.167500,   -3.37743,  -8.82059
     15.168000,   -3.50080,  -8.74431
     15.168500,   -3.62534,  -8.66335
     15.169000,   -3.75105,  -8.58552
     15.169500,   -3.87832,  -8.50378
     15.170000,   -4.00675,  -8.42283
     15.170500,   -4.13636,  -8.34344
     15.171000,   -4.26751,  -8.25937
     15.171500,   -4.39945,  -8.18075
     15.172000,   -4.53255,  -8.09824
     15.172500,   -4.66683,  -8.01885
     15.173000,   -4.80227,  -7.94101
     15.173500,   -4.93848,  -7.86084
     15.174000,   -5.07587,  -7.77911
     15.174500,   -5.21403,  -7.69893
     15.175000,   -5.35298,  -7.61954
     15.175500,   -5.49309,  -7.53936
     15.176000,   -5.63397,  -7.46230
     15.176500,   -5.77564,  -7.38368
     15.177000,   -5.91809,  -7.30662
     15.177500,   -6.06092,  -7.22956
     15.178000,   -6.20492,  -7.15406
     15.178500,   -6.34970,  -7.07466
     15.179000,   -6.49487,  -7.00305
     15.179500,   -6.64082,  -6.92444
     15.180000,   -6.78755,  -6.85360
     15.180500,   -6.93427,  -6.77888
     15.181000,   -7.08217,  -6.70882
     15.181500,   -7.23006,  -6.63565
     15.182000,   -7.37873,  -6.56560
     15.182500,   -7.52740,  -6.49009
     15.183000,   -7.67608,  -6.42160
     15.183500,   -7.82514,  -6.34765
     15.184000,   -7.97459,  -6.27759
     15.184500,   -8.12404,  -6.20365
     15.185000,   -8.27349,  -6.13437
     15.185500,   -8.42294,  -6.06042
     15.186000,   -8.57239,  -5.99270
     15.186500,   -8.72184,  -5.92265
     15.187000,   -8.87129,  -5.85493
     15.187500,   -9.02074,  -5.78565
     15.188000,   -9.17019,  -5.71949
     15.188500,   -9.31886,  -5.65333
     15.189000,   -9.46793,  -5.59183
     15.189500,   -9.61621,  -5.52645
     15.190000,   -9.76449,  -5.46963
     15.190500,   -9.91239,  -5.40658
     15.191000,  -10.05950,  -5.35598
     15.191500,  -10.20662,  -5.29683
     15.192000,  -10.35256,  -5.24467
     15.192500,  -10.49851,  -5.18629
     15.193000,  -10.64329,  -5.12869
     15.193500,  -10.78768,  -5.07343
     15.194000,  -10.93130,  -5.01816
     15.194500,  -11.07374,  -4.96601
     15.195000,  -11.21580,  -4.91697
     15.195500,  -11.35707,  -4.86482
     15.196000,  -11.49718,  -4.81345
     15.196500,  -11.63613,  -4.76129
     15.197000,  -11.77468,  -4.71303
     15.197500,  -11.91207,  -4.66166
     15.198000,  -12.04828,  -4.61029
     15.198500,  -12.18372,  -4.56047
     15.199000,  -12.31799,  -4.51065
     15.199500,  -12.45110,  -4.46239
     15.200000,  -12.58304,  -4.41880
     15.200500,  -12.71380,  -4.37366
     15.201000,  -12.84302,  -4.33240
     15.201500,  -12.97106,  -4.29270
     15.202000,  -13.09794,  -4.25145
     15.202500,  -13.22326,  -4.21564
     15.203000,  -13.34702,  -4.18062
     15.203500,  -13.46923,  -4.14559
     15.204000,  -13.58988,  -4.10900
     15.204500,  -13.70936,  -4.07398
     15.205000,  -13.82690,  -4.04596
     15.205500,  -13.94288,  -4.01715
     15.206000,  -14.05769,  -3.99302
     15.206500,  -14.17056,  -3.96656
     15.207000,  -14.28187,  -3.94476
     15.207500,  -14.39123,  -3.92297
     15.208000,  -14.49904,  -3.90273
     15.208500,  -14.60490,  -3.88639
     15.209000,  -14.70920,  -3.86848
     15.209500,  -14.81156,  -3.85214
     15.210000,  -14.91197,  -3.83657
     15.210500,  -15.01044,  -3.82178
     15.211000,  -15.10696,  -3.81010
     15.211500,  -15.20153,  -3.80076
     15.212000,  -15.29416,  -3.79298
     15.212500,  -15.38446,  -3.78753
     15.213000,  -15.47241,  -3.78208
     15.213500,  -15.55881,  -3.77819
     15.214000,  -15.64249,  -3.77430
     15.214500,  -15.72461,  -3.77430
     15.215000,  -15.80401,  -3.77430
     15.215500,  -15.88185,  -3.77430
     15.216000,  -15.95696,  -3.77430
     15.216500,  -16.03013,  -3.77430
     15.217000,  -16.10135,  -3.77819
     15.217500,  -16.16985,  -3.78442
     15.218000,  -16.23601,  -3.79220
     15.218500,  -16.29984,  -3.80076
     15.219000,  -16.36133,  -3.81088
     15.219500,  -16.42049,  -3.82256
     15.220000,  -16.47731,  -3.83423
     15.220500,  -16.53180,  -3.84824
     15.221000,  -16.58395,  -3.86459
     15.221500,  -16.63338,  -3.88016
     15.222000,  -16.68047,  -3.89573
     15.222500,  -16.72523,  -3.91519
     15.223000,  -16.76726,  -3.93542
     15.223500,  -16.80696,  -3.95800
     15.224000,  -16.84432,  -3.97979
     15.224500,  -16.87935,  -4.00392
     15.225000,  -16.91165,  -4.02961
     15.225500,  -16.94162,  -4.05530
     15.226000,  -16.96886,  -4.08098
     15.226500,  -16.99377,  -4.10745
     15.227000,  -17.01596,  -4.13781
     15.227500,  -17.03581,  -4.17128
     15.228000,  -17.05293,  -4.20475
     15.228500,  -17.06772,  -4.23900
     15.229000,  -17.07978,  -4.27636
     15.229500,  -17.08913,  -4.31216
     15.230000,  -17.09613,  -4.34953
     15.230500,  -17.10041,  -4.38689
     15.231000,  -17.10236,  -4.42892
     15.231500,  -17.10158,  -4.47796
     15.232000,  -17.09847,  -4.51999
     15.232500,  -17.09263,  -4.56592
     15.233000,  -17.08484,  -4.61885
     15.233500,  -17.07395,  -4.66400
     15.234000,  -17.06110,  -4.71693
     15.234500,  -17.04592,  -4.76519
     15.235000,  -17.02802,  -4.81734
     15.235500,  -17.00778,  -4.86871
     15.236000,  -16.98521,  -4.92009
     15.236500,  -16.96030,  -4.97379
     15.237000,  -16.93306,  -5.02750
     15.237500,  -16.90309,  -5.08121
